year,subject,title,paperType,sourceName,url
2025,Biology,Biology Scheme 2025 ,Scheme,KMBUSA Biology Scheme.pdf,https://drive.google.com/file/d/1T_8tpXhve5vqsAVLJfWya7NIZNs1geXV/view?usp=drive_link
2025,Chemistry,Chemistry Scheme 2025,Scheme,KMBUSA Chemistry Scheme.pdf,https://drive.google.com/file/d/1EA_hamiB6kct6sF7s_jz8TRMxmXLL2Fh/view?usp=drive_link
2025,Physics,Physics Scheme 2025,Scheme,KMBUSA Physics Scheme.pdf,https://drive.google.com/file/d/1GTblfv3-I1H0wZkq2PHWMjPq9mXI9cJM/view?usp=drive_link
2025,Combined Mathematics,Combined Mathematics Pure Scheme 2025,Scheme,KMBUSA Combine Maths 1 Scheme.pdf,https://drive.google.com/file/d/1I_0JqzPPggdGvMBYPhXiPipX1n_Dcpv5/view?usp=drive_link
2025,Combined Mathematics,Combined Mathematics Applied Scheme 2025,Applied Scheme,KMBUSA Combine Maths 2 Scheme.pdf,https://drive.google.com/file/d/1I_0JqzPPggdGvMBYPhXiPipX1n_Dcpv5/view?usp=drive_link
2024,Biology,Biology Scheme 2024,Scheme,KMBUSA BIO Scheme 2024.pdf,https://drive.google.com/file/d/1mnXbqgRaVG-hNPZYyzVaTX_yg1I3FiLD/view?usp=drive_link
2024,Chemistry,Chemistry Scheme 2024,Scheme,KMBUSA Chemistry Scheme 2024.pdf,https://drive.google.com/file/d/1A8IrgzfB83gMIhWqNlYf3bNWl4f3P663/view?usp=drive_link
2024,Physics,Physics Scheme 2024,Scheme,KMBUSA Physics Scheme 2024.pdf,https://drive.google.com/file/d/1hJLvwF1OLIt-lWCqoaUfK0T59lHLIH46/view?usp=drive_link
2024,Combined Mathematics,Combined Mathematics Pure Scheme 2024,Scheme,KMBUSA Maths Pure scheme 2024.pdf,https://drive.google.com/file/d/1eUfsLFS0SIjJ80zPFjQl_CscXsgE8BQv/view?usp=drive_link
2024,Combined Mathematics,Combined Mathematics Applied Scheme 2024,Applied Scheme,KMBUSA Maths Applied Scheme 2024.pdf,https://drive.google.com/file/d/1k9o8ngU3YrxgLDvZoYeFbPt-GKNu-0lx/view?usp=drive_link
